OBJECTID,ID,Pop,Shape_Length,Shape_Area
146,5519,60062.83984,0.383334,0.004305544
147,5524,16700.41016,0.449998,0.003194422
148,5537,42599.33984,0.45,0.005347244
149,5550,15609.90625,0.4,0.002777781
150,5554,169728.0625,0.666664,0.011111114
151,5555,26701.35547,0.316664,0.003055536
152,5564,99232872,219.26675,7.733125067
153,5590,6867.353516,0.199998,0.001180553
154,5667,62415.56641,0.616666,0.007847219
155,5707,7510.305664,0.166668,0.001111122
156,5715,21365.17188,0.300002,0.002777806
157,5721,10437.43164,0.233334,0.001458342
158,5724,8724.395508,0.250002,0.001597244
159,5725,11015.58398,0.200002,0.001458333
160,5736,5364.50293,0.15,0.000833325
161,5752,9608.370117,0.299998,0.001666692
162,5759,11654.05469,0.25,0.001805594
163,5760,60865.3125,0.466666,0.005972194
164,5762,5304.86084,0.183334,0.000972211
165,5763,10106.81836,0.216668,0.001388894
166,5776,5562.534668,0.149998,0.000902772
167,5779,9800.75,0.199998,0.001111106
168,5782,86825.49219,0.849998,0.01041665
169,5789,16253.79004,0.366666,0.002500033
170,5793,9572.481445,0.150002,0.001319481
171,5801,5701.529297,0.199998,0.001111106
172,5808,180978.8125,1.516666,0.017083383
173,5830,34778.13672,0.383332,0.003333342
174,5837,5592.395996,0.1,0.000625
175,5844,11473.13379,0.166668,0.001249992
176,5847,127886.9141,1.4,0.017708392
177,5853,9785.001953,0.283336,0.001875008
178,5859,5217.429199,0.166668,0.000902772
179,5861,17997930,81.54999,1.648333208
180,5866,5157.106445,0.166664,0.00104165
181,5867,6198.279785,0.15,0.001111114
182,5868,90690.22656,1.383328,0.015902756
183,5870,30651.57227,0.549996,0.004861131
184,5876,16264720,5.016662,0.165555611
185,5877,46384.16406,0.716668,0.006805569
186,5880,6002.047852,0.183334,0.00104165
187,5881,23280.1582,0.383336,0.003194439
188,5882,102330.8672,0.616662,0.006944422
189,5883,67830.41406,0.699998,0.006319506
190,5884,5695.370117,0.116668,0.000555569
