OBJECTID,Join_Count,TARGET_FID,group_,ID,Pop,group1,Shape_Length,Shape_Area
107,1,107,106,1586,57194.34766,106,0.2,0.001666675
108,1,108,107,1587,61278.09766,107,0.216666,0.001388919
109,1,109,108,1588,91579.79688,108,0.233334,0.001736106
110,1,110,109,1589,191303.8594,109,0.26667,0.002569439
111,1,111,110,1590,89945.21875,110,0.183334,0.001666692
112,1,112,111,1591,52943.71094,111,0.15,0.001111114
113,1,113,112,1592,53637.625,112,0.149998,0.001041658
114,1,114,113,1593,572373,113,0.749998,0.009722211
115,1,115,114,1594,76040.0625,114,0.166668,0.001180561
116,1,116,115,1595,440554.9375,115,0.433334,0.006597194
117,1,117,116,1596,145889.3594,116,0.3,0.002638878
118,1,118,117,1597,76468.625,117,0.216668,0.001597228
119,1,119,118,1598,54731.26563,118,0.166668,0.001111122
120,1,120,119,1599,75341.64063,119,0.166664,0.001319414
121,1,121,120,1600,65287.08203,120,0.149998,0.000972219
122,1,122,121,1601,68542.24219,121,0.2,0.001458333
123,1,123,122,1602,131605.6094,122,0.300002,0.002430553
124,1,124,123,1603,97825.90625,123,0.249998,0.001874992
125,1,125,124,1604,129732.0938,124,0.249998,0.002777764
126,1,126,125,1605,66759.78906,125,0.216666,0.001666667
127,1,127,126,1606,137029.8438,126,0.216666,0.002083325
128,1,128,127,1607,55957.14844,127,0.166668,0.001319456
129,1,129,128,1608,139966.3906,128,0.233332,0.002083333
130,1,130,129,1609,244211.1563,129,0.333334,0.003611122
131,1,131,130,1610,128912.1953,130,0.25,0.0025
132,1,132,131,1611,2197011.5,131,0.866668,0.020416642
133,0,133,132,1612,15417405,132,2.383336,0.087847161
134,1,134,133,1613,57572.53125,133,0.2,0.001458342
