,Shape_Area,ADM0_PCODE,ADM0_EN,sum_10,sum_11,sum_12,sum_13,sum_21,sum_22,sum_23,sum_30,year,total,perc_10,perc_11,perc_12,perc_13,perc_21,perc_22,perc_23,perc_30,perc_total
0,73.98637,PK,Pakistan,0.0,3167009.137637776,12653812.112936337,12043034.801483776,4211454.317946103,3055302.014911621,8646373.20326842,22449969.237781487,1975,66226954.825965516,0.0,0.047820545968936666,0.19106740067074884,0.18184491243982245,0.06359124210094172,0.04613381398768063,0.13055670800491717,0.3389853768269526,1.0
1,73.98637,PK,Pakistan,0.0,693810.8629532882,8500709.16863105,14247775.174558856,11402173.899922114,6618429.3592715645,11086585.814853275,23335952.76340865,1980,75885437.04359879,0.0,0.009142872334709888,0.11202029664462632,0.1877537473543576,0.15025509958348363,0.08721606697038656,0.14609635585920988,0.30751556125322627,1.0
2,73.98637,PK,Pakistan,0.0,674068.2529145062,8583041.99935317,14708891.538789932,15480043.71448551,7172132.945397794,13392002.76764055,29694369.57636962,1985,89704550.79495108,0.0,0.00751431501457834,0.09568123270549009,0.16397040516274236,0.17256698325004918,0.0799528327363462,0.1492901157071989,0.33102411542359494,1.0
3,73.98637,PK,Pakistan,0.0,630552.4082779081,8555011.190170007,14790581.65930224,20185822.45918668,7602977.171789488,16130980.669369504,36941937.86644351,1990,104837863.42453933,0.0,0.006014548443480728,0.08160230388830626,0.14108053308381538,0.19254324534872005,0.07252129071918748,0.15386598069103471,0.3523720978254554,1.0
4,73.98637,PK,Pakistan,0.0,828020.6446560156,9289537.2604137,14397551.830145083,25238946.60175777,8394002.742096772,18314582.61680626,44205779.69913746,1995,120668421.39501306,0.0,0.006861949755234269,0.07698399592055669,0.11931499280175467,0.20915949931206138,0.06956254706124528,0.1517761018589339,0.3663409132902138,1.0
5,73.98637,PK,Pakistan,0.0,772422.5518741496,10102184.920803525,13645251.753568629,32291511.726352736,8812428.195142452,20553866.043634787,52705730.72942218,2000,138883395.92079848,0.0,0.005561662333736725,0.07273860819593246,0.09824969833939079,0.2325080799778811,0.06345199249136985,0.1479936885713546,0.3794962700903344,0.9999999999999999
6,73.98637,PK,Pakistan,0.0,1319897.9285003392,11958614.447333584,12410515.870695263,40793994.29528426,8407830.502516493,21602337.22579723,60059127.82714956,2005,156552318.09727675,0.0,0.008431034075651283,0.07638733550979981,0.07927391955310271,0.2605773890229855,0.05370620253155325,0.1379879741695949,0.3836361451373124,1.0
7,73.98637,PK,Pakistan,0.0,2171030.559483272,18590043.305781573,10522211.37237458,40833221.25025323,5978235.614692225,25238582.81034076,86763567.39856389,2010,190096892.31148952,0.0,0.011420652558200996,0.09779246298945406,0.05535183265980521,0.21480215038625994,0.031448360580752635,0.13276694060303337,0.45641760022249384,1.0
8,73.98637,PK,Pakistan,0.0,1942935.314187804,18912426.758095644,9393659.506166931,49825208.81361836,5518045.277235383,26195008.86925611,94662717.74927112,2015,206450002.28783137,0.0,0.00941116634854271,0.09160778178015253,0.04550089320449775,0.24134273800662084,0.026728240329792572,0.12688306407831948,0.45852611625207407,1.0
9,73.98637,PK,Pakistan,0.0,1585765.377915741,16852180.73196499,6795653.69577424,82218154.40728733,5079731.480458951,23279491.460378256,80506975.34409769,2020,216317952.49787718,0.0,0.00733071554905413,0.07790467937297238,0.03141511657864332,0.38008012491748305,0.02348270877105681,0.10761701093951834,0.37216964387127205,1.0
