,Unnamed: 0,Shape_Area,ADM2_PCODE,ADM2_EN,year
136,136,0.09136599,PK706,Hyderabad,2010
137,137,0.24735771,PK707,Jacobabad,2010
138,138,1.0103481,PK708,Jamshoro,2010
139,139,0.5118031,PK709,Kambar Shahdad Kot,2010
140,140,0.24049242,PK710,Kashmore,2010
141,141,1.453221,PK711,Khairpur,2010
142,142,0.009314248,PK712,Korangi Karachi,2010
143,143,0.17548312,PK713,Larkana,2010
144,144,0.24407215,PK714,Malir Karachi,2010
145,145,0.13118753,PK715,Matiari,2010
146,146,0.3105439,PK716,Mirpur Khas,2010
147,147,0.27584493,PK717,Naushahro Feroze,2010
148,148,0.9155313,PK718,Sanghar,2010
149,149,0.4143732,PK719,Shaheed Benazir Abad,2010
150,150,0.23399568,PK720,Shikarpur,2010
151,151,0.04535618,PK721,South Karachi,2010
152,152,0.7723136,PK722,Sujawal,2010
153,153,0.4729768,PK723,Sukkur,2010
154,154,0.1386105,PK724,Tando Allahyar,2010
155,155,0.14995842,PK725,Tando Muhammad Khan,2010
156,156,1.7571425,PK726,Tharparkar,2010
157,157,0.68092793,PK727,Thatta,2010
158,158,0.492425,PK728,Umer Kot,2010
159,159,0.021619754,PK729,West Karachi,2010
