,Unnamed: 0,Shape_Area,ADM3_PCODE,ADM3_EN,year
0,0,0.026363766,PK10101,Bagh,2010
1,1,0.02302019,PK10102,Dhir Kot,2010
2,2,0.018374046,PK10103,Harighel,2010
3,3,0.04388116,PK10201,Barnala,2010
4,4,0.035945036,PK10202,Bhimber,2010
5,5,0.037220806,PK10203,Samahni,2010
6,6,0.007917001,PK10301,Chikar,2010
7,7,0.042552236,PK10302,Hattian,2010
8,8,0.016213765,PK10303,Leepa,2010
9,9,0.02909219,PK10401,Haveli,2010
10,10,0.018941967,PK10402,Khurshid Abad,2010
11,11,0.0056881537,PK10403,Mumtazabad,2010
12,12,0.027744725,PK10501,Charhoi,2010
13,13,0.010321322,PK10502,Dulliya Jattan,2010
14,14,0.016777318,PK10503,Fatehpur Thakiala,2010
15,15,0.017254194,PK10504,Khui Ratta,2010
16,16,0.04605387,PK10505,Kotli,2010
17,17,0.036917254,PK10506,Sehnsa,2010
18,18,0.027875787,PK10601,Dadyal,2010
19,19,0.058892254,PK10602,Mirpur,2010
20,20,0.0698267,PK10701,Muzaffarabad,2010
21,21,0.06353046,PK10702,Naseerabad,2010
22,22,0.11347225,PK10801,Athmuqam,2010
23,23,0.19564664,PK10802,Sharda,2010
24,24,0.010730257,PK10901,Abbaspur,2010
25,25,0.023894064,PK10902,Hajira,2010
26,26,0.030027935,PK10903,Rawalakot,2010
27,27,0.005420224,PK10904,Thorar,2010
28,28,0.017314326,PK11001,Baluch,2010
29,29,0.00670781,PK11002,Mong,2010
30,30,0.021009294,PK11003,Pallandari,2010
31,31,0.010193444,PK11004,Tarar Khal,2010
32,32,0.2624879,PK20101,Awaran,2010
33,33,1.098935,PK20102,Jhal Jhao,2010
34,34,0.32362086,PK20103,Mashkai,2010
35,35,0.5716745,PK20104,Gishekore,2010
36,36,0.21835387,PK20201,Barkhan,2010
37,37,0.1101816,PK20202,Rakhni,2010
38,38,1.4433655,PK20301,Dalbandin,2010
39,39,1.4088043,PK20302,Nokkundi,2010
40,40,0.83804476,PK20303,Taftan,2010
41,41,0.42736697,PK20304,Chagai,2010
42,42,0.28523633,PK20401,Dera Bugti,2010
43,43,0.23280656,PK20402,Phelawagh,2010
44,44,0.4347261,PK20403,Sui,2010
45,45,0.21058606,PK20501,Gwadar,2010
46,46,0.03392978,PK20502,Jiwani,2010
47,47,0.23693329,PK20503,Ormara,2010
48,48,0.39125913,PK20504,Pasni,2010
49,49,0.16567382,PK20505,Sunster,2010
50,50,0.15104204,PK20601,Harnai,2010
51,51,0.13570677,PK20602,Shahrigh,2010
52,52,0.049305398,PK20701,Gandakha,2010
53,53,0.06567167,PK20702,Jhat Pat,2010
54,54,0.041442048,PK20703,Usta Mohammad,2010
55,55,0.18838659,PK20801,Gandawa,2010
56,56,0.1670536,PK20802,Jhal Magsi,2010
57,57,0.079955086,PK20901,Dhadar,2010
58,58,0.15445969,PK20902,Mach,2010
59,59,0.1456725,PK20903,Sanni,2010
60,60,0.07628398,PK20904,Balanari,2010
61,61,0.041951012,PK20905,Khattan,2010
62,62,0.8361614,PK21001,Kalat,2010
63,63,0.10732968,PK21002,Khaliqabad,2010
64,64,0.33614615,PK21101,Buleda,2010
65,65,0.22170858,PK21102,Dasht,2010
66,66,1.1922878,PK21103,Kech (Turbat),2010
67,67,0.18356764,PK21104,Mand,2010
68,68,0.2678444,PK21105,Tump,2010
69,69,0.37310958,PK21201,Kharan,2010
70,70,0.22898655,PK21202,Sar Kharan,2010
71,71,0.15647954,PK21203,Tomulk,2010
72,72,0.51769334,PK21301,Khuzdar,2010
73,73,0.41640502,PK21302,Mola,2010
74,74,0.63551825,PK21303,Naal,2010
75,75,0.9537293,PK21304,Wadh,2010
76,76,0.30290377,PK21305,Zehri,2010
77,77,0.123347595,PK21402,Dobandi,2010
78,78,0.0711759,PK21403,Gulistan,2010
